Txhash,DateTime,Address,Amount
0xe4e94fe9ba1bc19e9f529373bea95817e737f9737c6d472d03f17e10a4146c2b,2022-11-08 17:12:23,0x21a31ee1afc51d94c2efccaa2092ad1028285549,"11,987,866.86"
0x28b2c21d53d9d14edf299af5d4db7d6bd71c1e421e590913d0beb2b13f18585c,2022-11-08 17:12:47,0x4884a886d4480fc2d10025078bf4fa582fe76326,"5,849,808.28"
0xcd498d5ad11aece3c0de10d041523aa5b2fae8a0948fdd733c82f016bd77dbe4,2022-11-08 17:12:47,0xd442e516478f1fec3d682477eca7f94be1de1762,"44,883.30"
0xcd498d5ad11aece3c0de10d041523aa5b2fae8a0948fdd733c82f016bd77dbe4,2022-11-08 17:12:47,0xd442e516478f1fec3d682477eca7f94be1de1762,"4,443,447.04"
0xcd498d5ad11aece3c0de10d041523aa5b2fae8a0948fdd733c82f016bd77dbe4,2022-11-08 17:12:47,0xe66b31678d6c16e9ebf358268a790b763c133750,"4,443,447.04"
0xb81dce767afbc8693cd5f5cd94b35cbe7446bb89fef90c57eedbde0929dbbd0b,2022-11-08 17:13:11,0xed56ac5bde4d92db3665d2adc3e6ec404144d951,"10,582,543.88"
0x26d77757d807b70177af30ee79d95fe15b6c2cfe0e53ef87437e75d6c2109f30,2022-11-08 17:13:23,0xb4a81261b16b92af0b9f7c4a83f1e885132d81e4,"153,170,008.28"
0x69855fc3d44e8a0d95d4401c61aaecd74c1e42ac48a9d9da5cd0ccd121aaac5c,2022-11-08 17:13:35,0xd442e516478f1fec3d682477eca7f94be1de1762,"156,043.09"
0x69855fc3d44e8a0d95d4401c61aaecd74c1e42ac48a9d9da5cd0ccd121aaac5c,2022-11-08 17:13:35,0xd442e516478f1fec3d682477eca7f94be1de1762,"15,448,265.81"
0x69855fc3d44e8a0d95d4401c61aaecd74c1e42ac48a9d9da5cd0ccd121aaac5c,2022-11-08 17:13:35,0xe66b31678d6c16e9ebf358268a790b763c133750,"15,448,265.81"
0xf10880a532ad4523c29d8aa4186b4b18d1843ff67a77823ae89dc4573ba037c3,2022-11-08 17:13:35,0x8f37136fc6814925e9152ee35dc5378b80972ac2,"90,107,604.39"
0xa2f806f3e28b28473ae7dd335c767c7b9d31f011cfdc20d24bfda52656f2a006,2022-11-08 17:13:47,0x7abe0ce388281d2acf297cb089caef3819b13448,"30,939,007.29"
